ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Chile,  ,2022,Out,36,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,36,,,,,,-,,26,,
6,Jamaica,  ,2022,Out,36,0,0,0.000,0,0,36,1.88,2973,0,56
6,Martinique,  ,2022,Out,36,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Saint Kitts and Nevis,  ,2022,Out,36,0,0,0.000,0,0,32,1.85,54,0,1
5,Dominican Republic,DEN 2,2022,Out,36,,3.055184266,0.592,,31,36,47.81,10954,160,5237
6,Turks and Caicos Islands,  ,2022,Out,36,,,,0,0,36,0.00,57,0,0
6,Aruba,  ,2022,Out,36,33.333333333,0,0.000,2,0,36,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,36,4.099821747,0.378787879,0.000,184,0,36,62.16,7220,17,4488
6,Saint Martin,  ,2022,Out,36,0,0,0.000,0,0,27,75.76,33,0,25
6,Guadeloupe,  ,2022,Out,36,0,0,0.000,0,0,27,60.00,400,0,240
4,Argentina,"DEN 1,2",2022,Out,36,100,0,0.000,815,0,36,1.79,45606,0,815
6,Suriname,  ,2022,Out,36,100,0,0.000,2,0,22,0.34,592,0,2
3,Colombia,"DEN 1,2,3,4",2022,Out,36,60.672191730,1.935229932,0.066,27746,30,36,89.20,51266,885,45731
6,Bermuda,  ,2022,Out,36,,,,0,0,36,0.00,72,0,0
2,Belize,  ,2022,Out,36,100,0,0.000,207,0,36,51.11,405,0,207
5,Puerto Rico,"DEN 1,2,3",2022,Out,36,82.517482517,3.496503497,0.000,236,0,36,10.11,2828,10,286
3,Venezuela,"DEN 1,2,3,4",2022,Out,36,19.014238773,0.262869660,0.110,868,5,36,15.90,28705,12,4565
2,Central America Ithsmus and Mexico,  ,2022,In,36,10.469322468,0.429895973,0.019,13516,24,-,71.04,181738,555,129101
